Scientific_name,Ensembl_Assembly
Acanthochromis_polyacanthus,ASM210954v1
Accipiter_nisus,Accipiter_nisus_ver1.0
Ailuropoda_melanoleuca,ASM200744v2
Amazona_collaria,ASM394721v1
Amphilophus_citrinellus,Midas_v5
Amphiprion_ocellaris,AmpOce1.0
Amphiprion_percula,Nemo_v1
Anabas_testudineus,fAnaTes1.2
Anas_platyrhynchos_platyrhynchos,CAU_duck1.0
Anas_platyrhynchos,ASM874695v1
Anas_zonorhyncha,ASM222487v1
Anolis_carolinensis,AnoCar2.0v2
Anser_brachyrhynchus,ASM259213v1
Anser_cygnoides,GooseV1.0
Aotus_nancymaae,Anan_2.0
Apteryx_haastii,aptHaa1
Apteryx_owenii,aptOwe1
Apteryx_rowi,aptRow1
Aquila_chrysaetos_chrysaetos,bAquChr1.2
Astatotilapia_calliptera,fAstCal1.2
Astyanax_mexicanus,Astyanax_mexicanus-2.0
Athene_cunicularia,athCun1
Balaenoptera_musculus,mBalMus1.v2
Betta_splendens,fBetSpl5.2
Bison_bison_bison,Bison_UMD1.0
Bos_grunniens,LU_Bosgru_v3.0
Bos_indicus_x_Bos_taurus,UOA_Brahman_1
Bos_mutus,BosGru_v2.0
Bubo_bubo,BubBub1.0
Buteo_japonicus,ButJap1.0
Caenorhabditis_elegans,WBcel235
Cairina_moschata_domestica,CaiMos1.0
Calidris_pugnax,ASM143184v1
Calidris_pygmaea,ASM369795v1
Callithrix_jacchus,mCalJac1.pat.X
Callorhinchus_milii,Callorhinchus_milii-6.1.3
Camarhynchus_parvulus,STF_HiC
Camelus_dromedarius,CamDro2
Canis_lupus_dingo,ASM325472v1
Canis_lupus_familiaris,ROS_Cfam_1.0
Capra_hircus,ARS1
Carassius_auratus,ASM336829v1
Carlito_syrichta,Tarsius_syrichta-2.0.1
Castor_canadensis,C.can_genome_v1.0
Catagonus_wagneri,CatWag_v2_BIUU_UCD
Catharus_ustulatus,bCatUst1.pri
Cavia_aperea,CavAp1.0
Cavia_porcellus,Cavpor3.0
Cebus_capucinus_imitator,Cebus_imitator-1.0
Cercocebus_atys,Caty_1.0
Cervus_hanglu_yarkandensis,CEY_v1
Chelonoidis_abingdonii,ASM359739v1
Chelydra_serpentina,Chelydra_serpentina-1.0
Chinchilla_lanigera,ChiLan1.0
Chlorocebus_sabaeus,ChlSab1.1
Choloepus_hoffmanni,choHof1
Chrysemys_picta_bellii,Chrysemys_picta_bellii-3.0.3
Chrysolophus_pictus,Chrysolophus_pictus_GenomeV1.0
Ciona_intestinalis,KH
Ciona_savignyi,CSAV 2.0
Clupea_harengus,Ch_v2.0.2
Colobus_angolensis_palliatus,Cang.pa_1.0
Corvus_moneduloides,UO_Cmon_1.0
Cottoperca_gobio,fCotGob3.1
Coturnix_japonica,Coturnix_japonica_2.0
Cricetulus_griseus,CHOK1GS_HDv1
Crocodylus_porosus,CroPor_comp1
Cyanistes_caeruleus,cyaCae2
Cyanoderma_ruficeps,ASM869450v1
Cyclopterus_lumpus,fCycLum1.pri
Cynoglossus_semilaevis,Cse_v1.0
